indicator_code,indicator_name,sex,age_band,value
5a,Number of people Reached with HIV TESTING Messages,Male,10-14,360
5a,Number of people Reached with HIV TESTING Messages,Male,15-19,739
5a,Number of people Reached with HIV TESTING Messages,Male,20-24,886
5a,Number of people Reached with HIV TESTING Messages,Male,25-29,935
5a,Number of people Reached with HIV TESTING Messages,Male,30-34,1096
5a,Number of people Reached with HIV TESTING Messages,Male,35-39,1102
5a,Number of people Reached with HIV TESTING Messages,Male,40-44,1282
5a,Number of people Reached with HIV TESTING Messages,Male,45-49,702
5a,Number of people Reached with HIV TESTING Messages,Male,50-54,893
5a,Number of people Reached with HIV TESTING Messages,Male,55-59,740
5a,Number of people Reached with HIV TESTING Messages,Male,60-64,182
5a,Number of people Reached with HIV TESTING Messages,Male,65+,120
5a,Number of people Reached with HIV TESTING Messages,Female,10-14,171
5a,Number of people Reached with HIV TESTING Messages,Female,15-19,239
5a,Number of people Reached with HIV TESTING Messages,Female,20-24,275
5a,Number of people Reached with HIV TESTING Messages,Female,25-29,270
5a,Number of people Reached with HIV TESTING Messages,Female,30-34,523
5a,Number of people Reached with HIV TESTING Messages,Female,35-39,782
5a,Number of people Reached with HIV TESTING Messages,Female,40-44,410
5a,Number of people Reached with HIV TESTING Messages,Female,45-49,415
5a,Number of people Reached with HIV TESTING Messages,Female,50-54,602
5a,Number of people Reached with HIV TESTING Messages,Female,55-59,324
5a,Number of people Reached with HIV TESTING Messages,Female,60-64,212
5a,Number of people Reached with HIV TESTING Messages,Female,65+,64
5b,Number of People Reached with  PEP Messages,Male,10-14,360
5b,Number of People Reached with  PEP Messages,Male,15-19,473
5b,Number of People Reached with  PEP Messages,Male,20-24,616
5b,Number of People Reached with  PEP Messages,Male,25-29,583
5b,Number of People Reached with  PEP Messages,Male,30-34,766
5b,Number of People Reached with  PEP Messages,Male,35-39,800
5b,Number of People Reached with  PEP Messages,Male,40-44,988
5b,Number of People Reached with  PEP Messages,Male,45-49,388
5b,Number of People Reached with  PEP Messages,Male,50-54,587
5b,Number of People Reached with  PEP Messages,Male,55-59,641
5b,Number of People Reached with  PEP Messages,Male,60-64,89
5b,Number of People Reached with  PEP Messages,Male,65+,94
5b,Number of People Reached with  PEP Messages,Female,10-14,170
5b,Number of People Reached with  PEP Messages,Female,15-19,225
5b,Number of People Reached with  PEP Messages,Female,20-24,265
5b,Number of People Reached with  PEP Messages,Female,25-29,249
