indicator_id,indicator_name,type,category,is_active,disaggregation_count,organizations
1,"Condoms distibution",number,hiv_prevention,true,0,"TEBELOPELE"
76,"HIV PREVENTION MESSAGES",number,events,true,9,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
156,"Number  of people referred for HIV testing. [DUPLICATE->6]",number,events,true,1,"BOFWA"
159,"Number  of people referred for HIV testing. [DUPLICATE->6]",number,events,true,0,"BOFWA"
221,"Number  of people referred for HIV testing. [DUPLICATE->6]",number,events,true,0,"BOFWA"
160,"Number  of people who tested positive for HIV.",number,events,true,1,"BOFWA | TEBELOPELE"
163,"Number  of people who tested positive for HIV. [DUPLICATE->160]",number,events,true,0,"BOFWA"
223,"Number  of people who tested positive for HIV. [DUPLICATE->160]",number,events,true,0,"BOFWA"
101,"Number  of people who tested positive for HIV. [DUPLICATE->160]",number,other,true,1,"TEBELOPELE"
174,"Number eligible for GBV services.",number,events,true,1,"BOFWA | TEBELOPELE"
177,"Number eligible for GBV services. [DUPLICATE->174]",number,events,true,0,"BOFWA"
230,"Number eligible for GBV services. [DUPLICATE->174]",number,events,true,0,"BOFWA"
188,"Number of  people referred for STI services",number,events,true,1,"BOFWA"
191,"Number of  people referred for STI services [DUPLICATE->188]",number,events,true,0,"BOFWA"
237,"Number of  people referred for STI services [DUPLICATE->188]",number,events,true,1,"BOFWA"
122,"Number of  people screened positive for STIs referred for services",number,other,true,5,"TEBELOPELE"
124,"Number of  STI cases referrals completed",number,other,true,1,"TEBELOPELE"
59,"Number of activities conducted",number,events,true,0,"TEBELOPELE"
16,"Number of advocacy activities conducted per quarter",number,events,true,6,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
84,"Number of advocacy activities conducted per quarter. [DUPLICATE->16]",number,events,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
134,"Number of advocacy activities conducted per quarter. [DUPLICATE->16]",number,other,true,1,"TEBELOPELE"
56,"Number of AYP provided with family planning services",number,hiv_prevention,true,16,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
311,"Number OF AYPs Linked TO Care.",multi_int,hiv_prevention,true,1,"TEBELOPELE"
11,"Number of braided condoms distributed to PWDs",number,hiv_prevention,true,0,"TEBELOPELE"
192,"Number of brailed condoms distributed to PWDs",number,events,true,1,"BOFWA"
195,"Number of brailed condoms distributed to PWDs [DUPLICATE->192]",number,events,true,0,"BOFWA"
239,"Number of brailed condoms distributed to PWDs [DUPLICATE->192]",number,events,true,1,"BOFWA"
58,"Number of commemorations conducted",number,events,true,0,"TEBELOPELE"
208,"Number of community leaders sensitised on human rights, stigma and descrimination.",number,events,true,10,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
211,"Number of community leaders sensitised on human rights, stigma and descrimination. [DUPLICATE->208]",number,events,true,0,"BOFWA"
247,"Number of community leaders sensitised on human rights, stigma and descrimination. [DUPLICATE->208]",number,events,true,0,"BOFWA"
82,"Number of community leaders sensitised on human rights, stigma and descrimination. [DUPLICATE->208]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
132,"Number of community leaders sensitised on human rights, stigma and descrimination. [DUPLICATE->208]",number,other,true,2,"TEBELOPELE"
15,"Number of community led monitoring conducted for quality of service and human rights [DUPLICATE->210]",number,hiv_prevention,true,0,"TEBELOPELE"
27,"Number of Community led monitoring conducted for quality of service and human rights [DUPLICATE->210]",number,hiv_prevention,true,0,"TEBELOPELE"
210,"Number of community led monitoring conducted for quality of service and human rights.",number,events,true,8,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
212,"Number of community led monitoring conducted for quality of service and human rights. [DUPLICATE->210]",number,events,true,0,"BOFWA"
248,"Number of community led monitoring conducted for quality of service and human rights. [DUPLICATE->210]",number,events,true,0,"BOFWA"
83,"Number of community led monitoring conducted for quality of service and human rights. [DUPLICATE->210]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
138,"Number of community led monitoring conducted for quality of service and human rights. [DUPLICATE->210]",number,other,true,5,"TEBELOPELE"
52,"Number of condoms distributed",number,hiv_prevention,true,1,"TEBELOPELE"
